episode,date,ticker,researcher
45,2020-12-21,PEN,Marc Cohodes
45,2020-12-21,CBAT,J Capital Research
45,2020-12-21,S30,Muddy Waters
45,2020-12-21,LOOP,Hindenburg Research
45,2020-12-21,DASH,Citron Research
45,2020-12-21,LAZR,Citron Research
45,2020-12-21,VUZI,Citron Research
45,2020-12-21,WTC,Viceroy Research
45,2020-12-21,FRHC,Independent journalist Roddy Boyd
46,2020-12-28,NETW,ShadowFall Capital
46,2020-12-28,XL,Citron Research
46,2020-12-28,MVIS,Hindenburg Research
46,2020-12-28,CLI,Sheen Bay Research
46,2020-12-28,GSX,Marcus Aurelius Research
46,2020-12-28,GSX,Citron Research
46,2020-12-28,GSX,Grizzly Research
46,2020-12-28,GSX,Scorpio VC
48,2021-01-11,NVRO,Kir Khalon
48,2021-01-11,MGNI,Spruce Point Capital
48,2021-01-11,BLNK,Culper Research
48,2021-01-11,BLNK,An anonymous letter
49,2021-01-19,EOSE,Iceberg Research
49,2021-01-19,TYR,Viceroy Research
49,2021-01-19,LMND,Citron Research
49,2021-01-19,CLSK,Culper Research
49,2021-01-19,KIDS,Culper Research
49,2021-01-19,DOYU,Grizzly Research
49,2021-01-19,BEEM,Mariner Research
49,2021-01-19,BTBT,J Cap Research
49,2021-01-19,TRIT,Phase 2 Partners
49,2021-01-19,RVP,
50,2021-01-26,PLUG,Kerrisdale Capital
50,2021-01-26,EOSE,Iceberg Research
50,2021-01-26,EPA,Muddy Waters Capital
50,2021-01-26,CLSK,Culper Research
50,2021-01-26,TRIT,Phase 2 Partners
50,2021-01-26,GME,Citron Research
51,2021-02-01,GME,
52,2021-02-08,CLOV,Hindenburg Research
52,2021-02-08,BIN,Snow Cap Research
52,2021-02-08,FIZZ,Grizzly Research
52,2021-02-08,FUV,Alex Pitti
52,2021-02-08,CVLB,Citron Research
52,2021-02-08,TIGR,Kerrisdale Capital
88,2021-10-24,GWH,Bonitas Research
88,2021-10-24,NXTP,White Diamond Research
89,2021-10-31,MP,Grizzly Research
89,2021-10-31,HSKA,Spruce Point Capital
89,2021-10-31,PAGS,Viceroy Research
89,2021-10-31,VUL,J Capital Research
89,2021-10-31,DWAC,Iceberg Research
89,2021-10-31,MNTS,White Diamond Research
114,2022-04-24,DWAC,Kerrisdale Capital
114,2022-04-24,RKLY,Iceberg Research
115,2022-05-01,ADJ,Viceroy Research
116,2022-05-08,VERU,Culper Research
116,2022-05-08,IONQ,Scorpion Capital
116,2022-05-08,SGLY,Hindenburg Research
116,2022-05-08,SGLY,Peabody Street Research
117,2022-05-15,TWTR,Hindenburg Research
117,2022-05-15,AZ,White Diamond Research
117,2022-05-15,WSC,An anonymous and unknown activist
117,2022-05-15,LMND,Citron Research
118,2022-05-22,AMR,Spruce Point Capital
118,2022-05-22,PMVP,Wolfpack Research
118,2022-05-22,AVZ,Boatman Capital Research
118,2022-05-22,ZI,The Bear Cave
119,2022-05-29,BGXX,Sumerian Research
119,2022-05-29,DAVE,Eclipse Research
119,2022-05-29,ONEW,Overlooked Alpha
119,2022-05-29,MBUU,Overlooked Alpha
119,2022-05-29,ENOB,Hindenburg Research
120,2022-06-05,ENOB,Hindenburg Research
120,2022-06-05,LWLG,Kerrisdale Capital
120,2022-06-05,LOCL,Helios Capital
120,2022-06-05,NWBO,Buyersstrike
121,2022-06-12,AMRC,Jehoshaphat Research
122,2022-06-19,EBIX,Hindenburg Research
123,2023-01-20,GNRC,Spruce Point Capital





232,2024-07-28,ATKR,ManBearChicken
232,2024-07-28,OTTR,ManBearChicken
232,2024-07-28,WLK,ManBearChicken
232,2024-07-28,CNM,ManBearChicken
232,2024-07-28,DAVE,Bleecker Street Research
232,2024-07-28,DAVE,Night Market Research
232,2024-07-28,ERF,Muddy Waters Research


